epoch,time(s),train_loss,test_loss,test_error(%)
001,00111,1.606495,0.00150,55.95
002,00092,1.356589,0.00114,41.03
003,00093,1.183519,0.00099,33.37
004,00093,1.084809,0.00088,29.91
005,00093,0.985560,0.00084,29.53
006,00093,0.930164,0.00072,24.45
007,00093,0.857874,0.00070,23.64
008,00093,0.819543,0.00061,20.81
009,00093,0.738489,0.00061,19.95
010,00092,0.764815,0.00059,20.02
011,00092,0.706856,0.00054,18.03
012,00093,0.704576,0.00052,17.90
013,00092,0.653452,0.00051,17.82
014,00093,0.682228,0.00048,16.03
015,00092,0.622003,0.00050,17.13
016,00092,0.624688,0.00048,16.72
017,00092,0.592863,0.00044,14.65
018,00091,0.578824,0.00044,14.94
019,00092,0.604021,0.00042,14.06
020,00092,0.557009,0.00042,14.07
021,00092,0.547777,0.00042,14.37
022,00092,0.570761,0.00043,14.27
023,00092,0.513464,0.00045,15.50
024,00093,0.525803,0.00037,12.32
025,00092,0.493450,0.00037,12.45
026,00092,0.531441,0.00038,12.99
027,00093,0.468658,0.00039,13.38
028,00092,0.510776,0.00035,11.85
029,00092,0.454680,0.00038,13.03
030,00093,0.431404,0.00037,12.73
031,00093,0.416303,0.00037,12.81
032,00092,0.451847,0.00036,12.29
033,00092,0.420426,0.00039,13.62
034,00092,0.468021,0.00033,11.10
035,00092,0.447081,0.00034,11.77
036,00092,0.441917,0.00032,10.90
037,00092,0.412981,0.00034,11.50
038,00093,0.398491,0.00030,10.18
039,00093,0.384749,0.00030,10.17
040,00093,0.371950,0.00034,11.24
041,00092,0.394173,0.00031,10.52
042,00092,0.427276,0.00031,10.32
043,00092,0.410293,0.00031,10.44
044,00093,0.374136,0.00030,10.15
045,00093,0.365427,0.00029,10.02
046,00093,0.391270,0.00027,9.63
047,00092,0.377403,0.00029,9.67
048,00093,0.358419,0.00027,9.44
049,00092,0.382970,0.00029,9.84
050,00092,0.348124,0.00029,9.64
051,00093,0.354208,0.00030,10.28
052,00092,0.313168,0.00027,9.15
053,00092,0.341419,0.00027,9.60
054,00093,0.313527,0.00027,9.46
055,00092,0.327518,0.00027,9.20
056,00093,0.306903,0.00026,8.91
057,00092,0.321625,0.00025,8.74
058,00092,0.319695,0.00027,9.36
059,00093,0.304657,0.00026,8.77
060,00092,0.278552,0.00024,8.30
061,00092,0.287952,0.00026,8.88
062,00092,0.278039,0.00025,8.63
063,00092,0.254194,0.00024,8.28
064,00093,0.271643,0.00024,8.21
065,00093,0.259433,0.00025,8.96
066,00092,0.276330,0.00025,8.42
067,00093,0.281505,0.00024,8.12
068,00094,0.269996,0.00023,7.80
069,00093,0.249154,0.00024,8.10
070,00093,0.259335,0.00023,7.81
071,00092,0.260951,0.00023,7.71
072,00092,0.234084,0.00022,7.60
073,00093,0.232356,0.00024,7.95
074,00093,0.253817,0.00022,7.61
075,00092,0.212115,0.00022,7.41
076,00092,0.227540,0.00022,7.41
077,00094,0.211287,0.00022,7.40
078,00093,0.193410,0.00022,7.31
079,00093,0.190635,0.00021,6.96
080,00092,0.190402,0.00021,7.17
081,00092,0.180600,0.00021,6.99
082,00092,0.184323,0.00021,7.06
083,00092,0.172536,0.00020,6.83
084,00092,0.166911,0.00020,6.83
085,00092,0.188400,0.00020,6.81
086,00092,0.174638,0.00020,6.76
087,00092,0.170666,0.00020,6.59
088,00094,0.181976,0.00020,6.58
089,00093,0.145117,0.00020,6.49
090,00092,0.136246,0.00020,6.57
091,00092,0.166603,0.00020,6.70
092,00092,0.144090,0.00020,6.50
093,00092,0.157204,0.00020,6.53
094,00093,0.152533,0.00019,6.46
095,00093,0.145671,0.00020,6.43
096,00092,0.135492,0.00020,6.53
097,00092,0.155945,0.00020,6.54
098,00093,0.161186,0.00020,6.47
099,00092,0.141059,0.00020,6.52
100,00092,0.144049,0.00020,6.52
101,00000,0.000000,0.00000,13.89
